"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"1000000US060750106002007","Block 2007, Block Group 2, Census Tract 106, San Francisco County, California","173","50","2","0","94","0","8","19",
"1000000US060750106002008","Block 2008, Block Group 2, Census Tract 106, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750106003000","Block 3000, Block Group 3, Census Tract 106, San Francisco County, California","211","59","9","0","112","3","13","15",
"1000000US060750106003001","Block 3001, Block Group 3, Census Tract 106, San Francisco County, California","150","85","1","0","60","0","1","3",
"1000000US060750106003002","Block 3002, Block Group 3, Census Tract 106, San Francisco County, California","19","13","5","0","1","0","0","0",
"1000000US060750106003003","Block 3003, Block Group 3, Census Tract 106, San Francisco County, California","91","60","0","0","8","0","17","6",
"1000000US060750106003004","Block 3004, Block Group 3, Census Tract 106, San Francisco County, California","136","66","0","0","51","0","4","15",
"1000000US060750106003005","Block 3005, Block Group 3, Census Tract 106, San Francisco County, California","201","52","0","5","133","0","3","8",
"1000000US060750106003006","Block 3006, Block Group 3, Census Tract 106, San Francisco County, California","78","28","0","0","45","1","1","3",
"1000000US060750106003007","Block 3007, Block Group 3, Census Tract 106, San Francisco County, California","128","40","0","0","82","0","1","5",
"1000000US060750106003008","Block 3008, Block Group 3, Census Tract 106, San Francisco County, California","49","6","0","0","26","0","14","3",
"1000000US060750106003009","Block 3009, Block Group 3, Census Tract 106, San Francisco County, California","48","15","0","0","18","1","4","10",
"1000000US060750106003010","Block 3010, Block Group 3, Census Tract 106, San Francisco County, California","167","63","7","0","74","5","13","5",
"1000000US060750107011000","Block 1000, Block Group 1, Census Tract 107.01, San Francisco County, California","47","10","3","0","27","0","0","7",
"1000000US060750107011001","Block 1001, Block Group 1, Census Tract 107.01, San Francisco County, California","421","32","4","0","371","0","5","9",
"1000000US060750107011002","Block 1002, Block Group 1, Census Tract 107.01, San Francisco County, California","569","19","61","0","470","0","6","13",
"1000000US060750107011003","Block 1003, Block Group 1, Census Tract 107.01, San Francisco County, California","102","7","2","0","78","0","4","11",
"1000000US060750107011004","Block 1004, Block Group 1, Census Tract 107.01, San Francisco County, California","391","69","10","0","296","1","7","8",
"1000000US060750107011005","Block 1005, Block Group 1, Census Tract 107.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750107011006","Block 1006, Block Group 1, Census Tract 107.01, San Francisco County, California","230","3","3","2","210","0","0","12",
"1000000US060750107012000","Block 2000, Block Group 2, Census Tract 107.01, San Francisco County, California","723","36","9","0","660","0","7","11",
"1000000US060750107012001","Block 2001, Block Group 2, Census Tract 107.01, San Francisco County, California","598","20","3","0","554","2","10","9",
"1000000US060750107012002","Block 2002, Block Group 2, Census Tract 107.01, San Francisco County, California","249","1","2","2","238","1","2","3",
"1000000US060750107012003","Block 2003, Block Group 2, Census Tract 107.01, San Francisco County, California","391","73","1","1","295","3","3","15",
"1000000US060750107021000","Block 1000, Block Group 1, Census Tract 107.02, San Francisco County, California","73","50","0","0","16","0","0","7",
"1000000US060750107021001","Block 1001, Block Group 1, Census Tract 107.02, San Francisco County, California","75","42","3","0","24","0","0","6",
"1000000US060750107021002","Block 1002, Block Group 1, Census Tract 107.02, San Francisco County, California","221","123","0","4","66","0","15","13",
"1000000US060750107021003","Block 1003, Block Group 1, Census Tract 107.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750107021004","Block 1004, Block Group 1, Census Tract 107.02, San Francisco County, California","168","98","1","1","35","0","8","25",
