"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750109011007","Block 1007, Block Group 1, Census Tract 109.01, San Francisco County, California","70",
"1000000US060750109011008","Block 1008, Block Group 1, Census Tract 109.01, San Francisco County, California","38",
"1000000US060750109012000","Block 2000, Block Group 2, Census Tract 109.01, San Francisco County, California","389",
"1000000US060750109012001","Block 2001, Block Group 2, Census Tract 109.01, San Francisco County, California","316",
"1000000US060750109012002","Block 2002, Block Group 2, Census Tract 109.01, San Francisco County, California","266",
"1000000US060750109012003","Block 2003, Block Group 2, Census Tract 109.01, San Francisco County, California","268",
"1000000US060750109021000","Block 1000, Block Group 1, Census Tract 109.02, San Francisco County, California","346",
"1000000US060750109021001","Block 1001, Block Group 1, Census Tract 109.02, San Francisco County, California","269",
"1000000US060750109021002","Block 1002, Block Group 1, Census Tract 109.02, San Francisco County, California","351",
"1000000US060750109021003","Block 1003, Block Group 1, Census Tract 109.02, San Francisco County, California","232",
"1000000US060750109022000","Block 2000, Block Group 2, Census Tract 109.02, San Francisco County, California","300",
"1000000US060750109022001","Block 2001, Block Group 2, Census Tract 109.02, San Francisco County, California","272",
"1000000US060750109022002","Block 2002, Block Group 2, Census Tract 109.02, San Francisco County, California","309",
"1000000US060750109022003","Block 2003, Block Group 2, Census Tract 109.02, San Francisco County, California","253",
"1000000US060750110011000","Block 1000, Block Group 1, Census Tract 110.01, San Francisco County, California","364",
"1000000US060750110011001","Block 1001, Block Group 1, Census Tract 110.01, San Francisco County, California","273",
"1000000US060750110011002","Block 1002, Block Group 1, Census Tract 110.01, San Francisco County, California","448",
"1000000US060750110011003","Block 1003, Block Group 1, Census Tract 110.01, San Francisco County, California","528",
"1000000US060750110012000","Block 2000, Block Group 2, Census Tract 110.01, San Francisco County, California","498",
"1000000US060750110012001","Block 2001, Block Group 2, Census Tract 110.01, San Francisco County, California","183",
"1000000US060750110012002","Block 2002, Block Group 2, Census Tract 110.01, San Francisco County, California","442",
"1000000US060750110012003","Block 2003, Block Group 2, Census Tract 110.01, San Francisco County, California","343",
"1000000US060750110021000","Block 1000, Block Group 1, Census Tract 110.02, San Francisco County, California","123",
"1000000US060750110021001","Block 1001, Block Group 1, Census Tract 110.02, San Francisco County, California","237",
"1000000US060750110021002","Block 1002, Block Group 1, Census Tract 110.02, San Francisco County, California","181",
"1000000US060750110021003","Block 1003, Block Group 1, Census Tract 110.02, San Francisco County, California","142",
"1000000US060750110022000","Block 2000, Block Group 2, Census Tract 110.02, San Francisco County, California","0",
"1000000US060750110022001","Block 2001, Block Group 2, Census Tract 110.02, San Francisco County, California","187",
"1000000US060750110022002","Block 2002, Block Group 2, Census Tract 110.02, San Francisco County, California","67",
"1000000US060750110022003","Block 2003, Block Group 2, Census Tract 110.02, San Francisco County, California","572",
"1000000US060750110023000","Block 3000, Block Group 3, Census Tract 110.02, San Francisco County, California","288",
"1000000US060750110023001","Block 3001, Block Group 3, Census Tract 110.02, San Francisco County, California","334",
